Date,XLU_AUM,XLY_AUM,XLF_AUM,XLK_AUM,XLRE_AUM,XLE_AUM,XLP_AUM,XLI_AUM,XLB_AUM,XLC_AUM,XLV_AUM,Total_AUM,XLK_weight,XLF_weight,XLV_weight,XLY_weight,XLP_weight,XLE_weight,XLI_weight,XLU_weight,XLRE_weight,XLB_weight,XLC_weight
2019-08-21,10583452593.92,14075578206.22,20700896493.08,21839155932.79,3770362981.33,10290844319.06,13958681477.86,9710856657.68,4156907088.26,5568010675.35,17317033297.51,131971779723.06001,0.16548352972596875,0.15685850820925804,0.1312176992221324,0.10665597020633731,0.10577019956199726,0.07797761264305988,0.07358282716242842,0.08019481601391715,0.028569463784166787,0.0314984544194462,0.04219091905128773
2019-08-22,10776558422.82,14047953719.22,20901986696.12,21926541378.17,3843097071.15,10225640366.06,13524962195.15,9702095941.12,4286626563.94,5533092730.81,17228095041.95,131996650126.50998,0.16611437757817998,0.15835240270178705,0.13051918382351388,0.10642659268819302,0.10246443513670404,0.07746893846366106,0.07350259216291617,0.0816426660259286,0.029115110629448913,0.03247526781802079,0.04191843297164663
2019-08-23,10766090338.46,13644013869.66,20470366079.15,21257717000.28,3793676823.24,9842091069.66,13360392204.67,9305564250.34,4330866991.89,5371267785.45,16758210268.98,128900256681.78001,0.1649160176054542,0.1588077991938047,0.1300091303181149,0.10584939255275023,0.1036490736993116,0.07635431707446068,0.07219197610531475,0.08352264468362211,0.029431103714599772,0.033598590905693414,0.041669954146873515
2019-08-26,11013918376.78,13675666419.66,20503979352.33,21451916106.89,3828320944.86,9888200928.41,13767101874.52,8803131268.18,4299672057.5,5413904865.13,17125855325.56,129771667519.82002,0.1653050817399233,0.1580004306348181,0.1319691397426512,0.10538252825926982,0.10608711545158615,0.0761969166104749,0.0678355409653305,0.08487151769933021,0.02950043732986093,0.03313259465393947,0.04171869691281523
2019-08-27,10994546501.85,13684172813.89,20411693635.32,21485683274.1,3809693813.19,9859832919.99,13783978610.3,8589465369.74,4303277294.62,5413677610.72,16728933854.6,129064955698.32002,0.1664718602958438,0.1581505492709489,0.12961639171598735,0.10602547174676727,0.10679877070983583,0.07639434629363408,0.06655149202404138,0.08518614865176072,0.029517647083805484,0.033341949961061455,0.04194537224631355
2019-08-28,10973938857.34,13824991463.65,20470576141.4,21479557062.62,3822640499.89,10017452078.99,13866876176.05,8768923030.65,4297798772.59,5451918429.24,16842209784.34,129816882296.76,0.16546042920302123,0.1576880894012266,0.12973820882432602,0.10649609834294294,0.10681874291473485,0.07716601956354345,0.06754840260763878,0.08453398867070074,0.0294464050611806,0.03310662447404397,0.04199699093664084
2019-08-29,10967522588.35,14057349794.38,20878763691.68,21830973377.05,3895541219.27,10083026767.67,13874153737.92,9591190498.36,4320314986.19,5587518160.92,16859077690.98,131945432512.77,0.16545455921664545,0.15823786616986005,0.1277731056688782,0.10653911641101706,0.10515069353823389,0.07641815692782045,0.07269058364283842,0.08312165400108516,0.029523880782254285,0.03274319469733724,0.04234718894402977
2019-08-30,11031741902.18,14477735087.29,21079995579.98,21849454110.71,3905415635.21,10065417492.41,13834067179.61,9828794876.34,4352751754.07,5585206078.57,16933333304.45,132943913000.82,0.16435091774811256,0.1585630744887882,0.12737200915957358,0.10890107535198472,0.10405942526698964,0.07571175893060945,0.07393189093418197,0.08298042124058704,0.029376415565456622,0.03274126400990733,0.04201174730380886
2019-09-03,11297244636.21,13881230156.67,20932618777.47,21590415480.41,3952383221.82,9914776523.98,13895022088.97,9488955140.46,4277880938.6,5536794446.35,16768328354.12,131535649765.06003,0.16414117023767566,0.15914026969006814,0.12748124469731545,0.10553207576397504,0.1056369289526325,0.07537710530710948,0.07213979751807606,0.08588732147055467,0.03004800013440825,0.032522597077224755,0.042093489150959784
2019-09-04,11320137414.35,14374744672.77,21167381854.04,21966244809.45,3973727065.23,10041624170.26,14103212359.26,9718013619.06,4320837011.46,5629897269.02,16689670543.88,133305490788.78,0.1647812455396537,0.1587885219790332,0.12519867295132248,0.10783310265551257,0.10579618495689927,0.07532791118237404,0.07290032512207623,0.08491876326599736,0.02980917771441459,0.03241304604854037,0.04223304858417622
2019-09-05,11312560864.89,14572620325.8,21350552194.83,22652618893.44,3935609918.25,10205731606.18,13980679685.85,9786525130.82,4314906913.81,5743650470.46,16642618786.18,134498074790.51001,0.16842336909820463,0.15874243722882245,0.12373871382249911,0.10834817039944888,0.10394706175256314,0.07588013153404707,0.07276331015193478,0.08410946314666652,0.029261459127797797,0.03208155150570567,0.04270433223230987
2019-09-06,11023271922.0,14226524577.47,21463679832.38,22638623407.71,3944121956.32,10187711891.29,13169080557.27,9950848574.29,4312823903.93,5707355904.84,16695211367.83,133319253895.33002,0.16980760652533924,0.1609945990939261,0.1252273087346974,0.10671020247862589,0.09877853477644832,0.07641590838250904,0.07463924589693915,0.08268327041984841,0.029584038622182517,0.03234959526038176,0.04280968980910206
2019-09-09,10962434306.13,14314706975.19,21901234064.28,22589240013.59,3923656247.62,10393823966.47,13209969603.8,9978814370.2,4261731221.03,5771657582.19,16593194420.71,133900462771.20999,0.1687017322127353,0.1635635427317507,0.12392186014369556,0.1069055825419284,0.09865514525047842,0.07762351041481823,0.07452412160255469,0.08187002553427349,0.029302783324387637,0.03182760636392899,0.04310408987944862
2019-09-10,10958694597.88,14339816304.16,22204432191.79,22713591936.98,3870041206.86,10602992299.13,13370851766.87,10132826503.31,4303675872.31,5772013708.02,16668635382.42,134937571769.73001,0.16832666868898885,0.16455337012942328,0.12352849665076904,0.10627000409219452,0.09908916835769997,0.07857702017362465,0.07509269931581097,0.08121307100872492,0.028680234541823516,0.03189382924167475,0.042775437799265424
2019-09-11,11080787390.09,14369755264.4,22502159836.14,22912947529.94,3859256095.1,10252093048.09,13654222179.81,10166691668.25,4351559916.88,5861214681.75,16799878438.58,135810566049.03,0.1687125545273703,0.16568784366907302,0.12370082039504164,0.10580734387935815,0.10053873256724802,0.07548818436106668,0.07485935714736397,0.08159002434383228,0.028416464251439323,0.032041394447240655,0.043157280410965955
2019-09-12,11199391260.24,14417468667.0,22733755562.67,23115421370.37,3870514499.67,10612899920.43,13864672310.51,9921881333.8,4266610888.35,6010022337.62,17634989782.82,137647627933.48,0.16793185409298025,0.16515907977474467,0.12811691743313103,0.10474186067316342,0.10072583537153493,0.07710194559661297,0.07208174585176924,0.08136276249999927,0.028119006173796732,0.030996617612705207,0.043662374919562146
2019-09-13,11345822897.47,14354371512.2,22767185820.32,22928712246.46,3919220938.24,10605858531.31,14251409920.35,10006047233.23,4273328834.68,5993865086.76,17461291313.77,137907114334.79,0.16626199712073697,0.16509072740837194,0.12661631996287095,0.10408724438503318,0.10334064336777134,0.07690581144031991,0.07255642525402158,0.0822714836156047,0.028419280304317795,0.030987007851573628,0.04346305928937794
2019-09-16,10810083861.7,14205215936.79,22758373087.49,23016608391.03,3853647766.04,10518609754.2,13486955457.53,10042539197.06,4209266059.59,5994516411.83,17046725683.38,135942541606.63998,0.16931129960502206,0.16741170805341477,0.12539654976222225,0.10449426477470067,0.09921070547993376,0.07737540897709852,0.0738734106216643,0.0795195068000111,0.028347621873885665,0.03096356747374806,0.044095956578298984
2019-09-17,10877127180.8,14268777867.78,23061514484.83,22974627186.51,3907347424.0,10800182497.42,13775387700.46,10038366995.99,4307448375.62,6052927043.24,17084968633.26,137148675389.91,0.16751621640671155,0.16814974274645186,0.12457261132626977,0.1040387581375777,0.1004412741231145,0.07874798984908436,0.07319332080642552,0.07930902103047381,0.028489866292120695,0.03140714529961037,0.044134053982159804
2019-09-18,10896147461.76,14263065564.94,23030194484.39,23013919614.23,3906989719.06,10674992849.94,13832469762.86,10024310913.17,4311312281.71,6055632302.23,17131550271.29,137140585225.57999,0.1678126105147855,0.1679312834089782,0.1249196234879021,0.10400324266867426,0.10086342959749829,0.07783977902953312,0.07309514464067073,0.07945239145536043,0.028488938651045317,0.031437172844336364,0.04415638370121582
